DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
12/11/1991,355.9,356.55,355.9,355.9,0.15
11/11/1991,355.35,355.45,355.35,355.35,0.38
8/11/1991,354,355.25,354,354,0.1
7/11/1991,353.65,356.05,353.65,353.65,-0.27
6/11/1991,354.6,355.05,354.6,354.6,0.07
5/11/1991,354.35,357.3,354.35,354.35,-0.67
4/11/1991,356.75,356.95,356.75,356.75,0.39
1/11/1991,355.35,358.25,355.35,355.35,-0.73
31-10-1991,357.95,359.75,357.95,357.95,0.01
30-10-1991,357.9,361.26,357.9,357.9,-0.33
29-10-1991,359.1,359.35,359.1,359.1,0.14
28-10-1991,358.6,360.45,358.6,358.6,-0.53
25-10-1991,360.5,363.4,360.5,360.5,-0.37
24-10-1991,361.85,362.05,361.85,361.85,-0.08
23-10-1991,362.15,364.75,362.15,362.15,-0.3
22-10-1991,363.25,364.45,363.25,363.25,-0.01
21-10-1991,363.3,364.8,363.3,363.3,0.35
18-10-1991,362.05,362.65,362.05,362.05,0.54
17-10-1991,360.1,360.25,360.1,360.1,0.7
16-10-1991,357.6,358.15,357.6,357.6,0.04
15-10-1991,357.45,359.95,357.45,357.45,-0.24
14-10-1991,358.3,361.25,358.3,358.3,-0.33
11/10/1991,359.5,360.6,359.5,359.5,0.36
10/10/1991,358.2,360.75,358.2,358.2,-0.26
9/10/1991,359.15,359.35,359.15,359.15,0.62
8/10/1991,356.95,359.25,356.95,356.95,-0.54
7/10/1991,358.9,360.45,358.9,358.9,0.01
4/10/1991,358.85,359.25,358.85,358.85,0.29
3/10/1991,357.8,358.45,357.8,357.8,0.75
2/10/1991,355.15,357.95,355.15,355.15,0.3
1/10/1991,354.1,354.55,354.1,354.1,0.01
30-09-1991,354.05,356.25,354.05,354.05,1.37
27-09-1991,349.25,351.3,349.25,349.25,-0.44
26-09-1991,350.8,353.25,350.8,350.8,-0.51
25-09-1991,352.6,354.4,352.6,352.6,-0.33
24-09-1991,353.75,354.55,353.75,353.75,0.78
23-09-1991,351,351,351,351,0.7
20-09-1991,348.55,349.05,348.55,348.55,0.03
19-09-1991,348.45,350.85,348.45,348.45,0.06
18-09-1991,348.25,349.05,348.25,348.25,0.45
17-09-1991,346.7,347.45,346.7,346.7,0.62
16-09-1991,344.55,346.35,344.55,344.55,0.03
13-09-1991,344.45,345.35,344.45,344.45,0.06
12/9/1991,344.25,346.25,344.25,344.25,-0.35
11/9/1991,345.45,350.25,345.45,345.45,-1.23
10/9/1991,349.75,352.25,349.75,349.75,-0.33
9/9/1991,350.9,352.45,350.9,350.9,0.5
6/9/1991,349.15,349.55,349.15,349.15,0.66
5/9/1991,346.85,349.11,346.85,346.85,-0.63
4/9/1991,349.05,349.6,349.05,349.05,0.23
3/9/1991,348.25,350.35,348.25,348.25,0.07
2/9/1991,348,348.9,348,348,-0.16
30-08-1991,348.55,351.65,348.55,348.55,-0.83
29-08-1991,351.45,355.15,351.45,351.45,-0.86
28-08-1991,354.5,356.9,354.5,354.5,0
27-08-1991,354.5,355.75,354.5,354.5,-0.21
26-08-1991,355.25,355.75,355.25,355.25,0.4
23-08-1991,353.85,355.25,353.85,353.85,-0.2
22-08-1991,354.55,357.75,354.55,354.55,-0.39
21-08-1991,355.95,357.55,355.95,355.95,-0.07
20-08-1991,356.2,359.25,356.2,356.2,-0.75
19-08-1991,358.9,362.3,358.9,358.9,0.25
16-08-1991,358,358.75,358,358,0.2
15-08-1991,357.3,360.6,357.3,357.3,-0.15
14-08-1991,357.85,359.05,357.85,357.85,0.29
13-08-1991,356.8,358.3,356.8,356.8,-0.2
12/8/1991,357.5,358.95,357.5,357.5,-0.35
9/8/1991,358.75,359.35,358.75,358.75,0.57
8/8/1991,356.7,358.6,356.7,356.7,-0.07
7/8/1991,356.95,358.15,356.95,356.95,-0.08
6/8/1991,357.25,357.95,357.25,357.25,0.27
5/8/1991,356.3,357.35,356.3,356.3,-0.01
2/8/1991,356.35,363.75,356.35,356.35,-1.98
1/8/1991,363.55,365.55,363.55,363.55,-0.11
31-07-1991,363.95,364.75,363.95,363.95,0.05
30-07-1991,363.75,364.75,363.75,363.75,-0.11
29-07-1991,364.15,366.85,364.15,364.15,-0.57
26-07-1991,366.25,366.55,366.25,366.25,0.47
25-07-1991,364.55,366.9,364.55,364.55,0
24-07-1991,364.55,368.35,364.55,364.55,-0.8
23-07-1991,367.5,368.8,367.5,367.5,0.03
22-07-1991,367.4,371.29,367.4,367.4,-0.86
19-07-1991,370.6,371,370.6,370.6,0.39
18-07-1991,369.15,372.15,369.15,369.15,-0.11
17-07-1991,369.55,369.9,369.55,369.55,0.18
16-07-1991,368.9,369.3,368.9,368.9,-0.18
15-07-1991,369.55,369.85,369.55,369.55,0.28
12/7/1991,368.5,369.65,368.5,368.5,0.27
11/7/1991,367.5,370,367.5,367.5,-0.58
10/7/1991,369.65,371.85,369.65,369.65,0.11
9/7/1991,369.25,370.55,369.25,369.25,-0.27
8/7/1991,370.25,371.95,370.25,370.25,0
5/7/1991,370.25,371.45,370.25,370.25,0.14
4/7/1991,369.75,370.6,369.75,369.75,0
3/7/1991,369.75,370.75,369.75,369.75,0.53
2/7/1991,367.8,368.35,367.8,367.8,-0.12
1/7/1991,368.25,370.45,368.25,368.25,0
28-06-1991,368.25,371.15,368.25,368.25,0.61
27-06-1991,366,366.75,366,366,-0.03
26-06-1991,366.1,367.75,366.1,366.1,0.44
25-06-1991,364.5,365.45,364.5,364.5,0.26
24-06-1991,363.55,366.25,363.55,363.55,-0.93
21-06-1991,366.95,368.35,366.95,366.95,-0.34
20-06-1991,368.2,370.2,368.2,368.2,0.01
19-06-1991,368.15,368.85,368.15,368.15,0.11
18-06-1991,367.75,372.25,367.75,367.75,0
17-06-1991,367.75,368.2,367.75,367.75,0.34
14-06-1991,366.5,369.95,366.5,366.5,-0.77
13-06-1991,369.35,370.85,369.35,369.35,-0.15
12/6/1991,369.9,372.95,369.9,369.9,-0.16
11/6/1991,370.5,373.35,370.5,370.5,-0.66
10/6/1991,372.95,373.97,372.95,372.95,1.83
